color,base,lighter,lightest,darker,darkest,r,g,b
red,f44336,e57373,ffcdd2,d32f2f,b71c1c,244,67,54
pink,e91e63,f06292,f8bbd0,c2185b,880e4f,233,30,99
purple,9c27b0,ba68c8,e1bee7,7b1fa2,4a148c,156,39,176
deep-purple,673ab7,9575cd,d1c4e9,512da8,311b92,103,58,183
indigo,3f51b5,7986cb,c5cae9,303f9f,1a237e,63,81,181
blue,2196f3,64b5f6,bbdefb,1976d2,0d47a1,33,150,243
light-blue,03a9f4,4fc3f7,b3e5fc,0288d1,01579b,3,169,244
cyan,00bcd4,4dd0e1,b2ebf2,0097a7,006064,0,188,212
teal,009688,4db6ac,b2dfdb,00796b,004d40,0,150,136
green,4caf50,81c784,c8e6c9,388e3c,1b5e20,76,175,80
light-green,8bc34a,aed581,dcedc8,689f38,33691e,139,195,74
lime,cddc39,dce775,f0f4c3,afb42b,827717,205,220,57
yellow,ffeb3b,fff176,fff9c4,fbc02d,f57f17,255,235,59
amber,ffc107,ffd54f,ffecb3,ffa000,ff8f00,255,193,7
orange,ff9800,ffb74d,ffe0b2,f57c00,e65100,255,152,0
deep-orange,ff5722,ff8a65,ffccbc,e64a19,bf360c,255,87,34
brown,795548,a1887f,d7ccc8,5d4037,3e2723,121,85,72
grey,9e9e9e,e0e0e0,f5f5f5,616161,212121,158,158,158
blue-grey,607d8b,90a4ae,cfd8dc,455a64,263238,96,125,139
